merge_kecamatan,Latitude,Longitude
"Rongga,Bandung Barat,Jawa Barat",-6.96437,107.2542799
"Padalarang,Bandung Barat,Jawa Barat",-6.8397676,107.479695
"Batujajar,Bandung Barat,Jawa Barat",-6.8976865,107.4351325
"Cisarua,Bandung Barat,Jawa Barat",-6.813314,107.5238635
"Cipongkor,Bandung Barat,Jawa Barat",-6.94208,107.3612685
"Bogor Utara,Bogor,Jawa Barat",-6.5717145,106.818662
"Bogor Tengah,Bogor,Jawa Barat",-6.5925155,106.7978495
"Bogor Timur,Bogor,Jawa Barat",-6.6253271,106.825511
"Gunung Puyuh,Sukabumi,Jawa Barat",-6.906425,106.9179249
"Warudoyong,Sukabumi,Jawa Barat",-6.932105,106.91406
"Bandung Kidul,Bandung,Jawa Barat",-6.9559315,107.6295815
"Andir,Bandung,Jawa Barat",-6.9060803,107.5822343
"Kejaksan,Cirebon,Jawa Barat",-6.703739,108.5552091
"Kesambi,Cirebon,Jawa Barat",-6.7304535,108.5415599
"Adipala,Cilacap,Jawa Tengah",-7.6594279,109.1725405
"Cilacap Utara,Cilacap,Jawa Tengah",-7.6690951,109.0388815
"Kutasari,Purbalingga,Jawa Tengah",-7.313896,109.2930535
"Mrebet,Purbalingga,Jawa Tengah",-7.304275,109.34629
"Pengadegan,Purbalingga,Jawa Tengah",-7.36876,109.4918561
"Punggelan,Banjarnegara,Jawa Tengah",-7.36876,109.4918561
"Ambal,Kebumen,Jawa Tengah",-7.7654485,109.7327315
"Loano,Purworejo,Jawa Tengah",-7.6708269,110.0704444
"Kepil,Wonosobo,Jawa Tengah",-7.490203,110.017996
"Wonosobo,Wonosobo,Jawa Tengah",-7.3609528,109.9192151
"Garung,Wonosobo,Jawa Tengah",-7.2867614,109.9440199
"Prambanan,Klaten,Jawa Tengah",-7.7488201,110.5105354
"Tasikmadu,Karanganyar,Jawa Tengah",-7.567217,110.9402126
"Jepon,Blora,Jawa Tengah",-6.9978729,111.453965
"Jiken,Blora,Jawa Tengah",-7.00659,111.5388211
"Sarang,Rembang,Jawa Tengah",-6.7692445,111.6381374
"Batangan,Pati,Jawa Tengah",-6.7125124,111.2027169
"Pecangaan,Jepara,Jawa Tengah",-6.7004105,110.7033954
"Welahan,Jepara,Jawa Tengah",-6.765211,110.7036721
